ID_Proyecto;Fecha_Reporte;Cod_Partida;Nombre_Partida;Categoria_partida;MP;MV;AC;VP;VV
CSCH-2024;1/09/2024;        1100 -   PRELIMINARES;PRELIMINARES;OBRA;271144.87;271144.87;14297.48;152122.15;271144.87
CSCH-2024;1/09/2024;        1200 -   REDES SECUNDARIAS;REDES SECUNDARIAS;OBRA;;;;40891.75;
CSCH-2024;1/09/2024;        1300 -   REDES PRIMARIAS;REDES PRIMARIAS;OBRA;;;;;
CSCH-2024;1/09/2024;        1400 -   OBRAS CIVILES;OBRAS CIVILES;OBRA;;;;;
CSCH-2024;1/09/2024;        1500 -   EQUIPAMIENTO HIDRAULICO Y ELECTRICO;EQUIPAMIENTO HIDRAULICO Y ELECTRICO;OBRA;;;;;
CSCH-2024;1/09/2024;        1600 -   PTAP;PTAP;OBRA;;;;;
CSCH-2024;1/09/2024;        1700 -   PTAR;PTAR;OBRA;;;;;
CSCH-2024;1/09/2024;        1800 -   PUESTA EN MARCHA;PUESTA EN MARCHA;OBRA;;;;;
CSCH-2024;1/09/2024;        2100 -   INDIRECTOS;INDIRECTOS;GENERALES;547526;;434062.57;;
CSCH-2024;1/09/2024;        2200 -   GESTIÓN;GESTIÓN;GENERALES;36871.46;;920;9727.68;
CSCH-2024;1/09/2024;        2300 -   OFICINA CENTRAL;OFICINA CENTRAL;GENERALES;108796.27;;50506.25;;34183.75
CSCH-2024;1/09/2024;        2400 -   OTROS;OTROS;GENERALES;;;;;
CSCH-2024;1/09/2024;        TEMPORAL;TEMPORAL;GENERALES;;;;;
CSCH-2024;1/09/2024;        3100 -   IMPUESTOS;IMPUESTOS;IMPUESTOS;;;;;
CSCH-2024;1/09/2024;        4100 -   SOCIOS;SOCIOS;SOCIOS;19999.98;;;;
CSCH-2024;1/09/2024;        5100 -   VICIOS OCULTOS;VICIOS OCULTOS;VICIOS OCULTOS;507864.99;;8000;;
CSCH-2024;1/10/2024;        1100 -   PRELIMINARES;OBRA;OBRA;471067.48;471067.48;188790.83;611817.39;484743.49
CSCH-2024;1/10/2024;        1200 -   REDES SECUNDARIAS;OBRA;OBRA;875243.78;873465.07;61243.67;189305.25;826548.66
CSCH-2024;1/10/2024;        1300 -   REDES PRIMARIAS;OBRA;OBRA;67666.5;67666.5;;;97176.75
CSCH-2024;1/10/2024;        1400 -   OBRAS CIVILES;OBRA;OBRA;5683.46;5683.46;9717.83;2265.08;5986.93
CSCH-2024;1/10/2024;        1500 -   EQUIPAMIENTO HIDRAULICO Y ELECTRICO;OBRA;OBRA;;;;;
CSCH-2024;1/10/2024;        1600 -   PTAP;OBRA;OBRA;;;;83780.74;
CSCH-2024;1/10/2024;        1700 -   PTAR;OBRA;OBRA;612913.86;612913.88;205306.8;;1272591.41
CSCH-2024;1/10/2024;        1800 -   PUESTA EN MARCHA;OBRA;OBRA;;;;;
CSCH-2024;1/10/2024;        2100 -   INDIRECTOS;GENERALES;GENERALES;631541.7;;572088.53;;
CSCH-2024;1/10/2024;        2200 -   GESTIÓN;GENERALES;GENERALES;67243.81;23037.75;10966.11;105445.47;78515.69
CSCH-2024;1/10/2024;        2300 -   OFICINA CENTRAL;GENERALES;GENERALES;95573.79;;93052.56;;379276.87
CSCH-2024;1/10/2024;        2400 -   OTROS;GENERALES;GENERALES;;;;;
CSCH-2024;1/10/2024;        TEMPORAL;GENERALES;GENERALES;;;746224.66;;
CSCH-2024;1/10/2024;        3100 -   IMPUESTOS;IMPUESTOS;IMPUESTOS;;;;;
CSCH-2024;1/10/2024;        4100 -   SOCIOS;SOCIOS;SOCIOS;388999.98;;;;
CSCH-2024;1/10/2024;        5100 -   VICIOS OCULTOS;VICIOS OCULTOS;VICIOS OCULTOS;143895.08;;556952.53;;
CSCH-2024;1/11/2024;        1100 -   PRELIMINARES;OBRA;OBRA;112042.27;112042.27;100449.93;93271.09;122627.88
CSCH-2024;1/11/2024;        1200 -   REDES SECUNDARIAS;OBRA;OBRA;1069827.8;1071900.2;1056027.36;949041.25;1225226.16
CSCH-2024;1/11/2024;        1300 -   REDES PRIMARIAS;OBRA;OBRA;12284.85;12284.85;;;17642.96
CSCH-2024;1/11/2024;        1400 -   OBRAS CIVILES;OBRA;OBRA;;;57400.15;57104.22;
CSCH-2024;1/11/2024;        1500 -   EQUIPAMIENTO HIDRAULICO Y ELECTRICO;OBRA;OBRA;1436.48;1436.48;;;2140.84
CSCH-2024;1/11/2024;        1600 -   PTAP;OBRA;OBRA;10106.95;10106.95;60986.09;130376.97;10568.5
CSCH-2024;1/11/2024;        1700 -   PTAR;OBRA;OBRA;655595.79;655595.8;804143.36;624610.52;1413143.17
CSCH-2024;1/11/2024;        1800 -   PUESTA EN MARCHA;OBRA;OBRA;;;;;
CSCH-2024;1/11/2024;        2100 -   INDIRECTOS;GENERALES;GENERALES;646121.11;;684340.32;;
CSCH-2024;1/11/2024;        2200 -   GESTIÓN;GENERALES;GENERALES;69243.83;38542.75;38605.67;103344.53;104923.56
CSCH-2024;1/11/2024;        2300 -   OFICINA CENTRAL;GENERALES;GENERALES;95365.46;;83053.3;;361371.09
CSCH-2024;1/11/2024;        2400 -   OTROS;GENERALES;GENERALES;15000.03;;;;
CSCH-2024;1/11/2024;        TEMPORAL;GENERALES;GENERALES;;;467932.54;;
CSCH-2024;1/11/2024;        3100 -   IMPUESTOS;IMPUESTOS;IMPUESTOS;;;;;
CSCH-2024;1/11/2024;        4100 -   SOCIOS;SOCIOS;SOCIOS;388999.98;;;;
CSCH-2024;1/11/2024;        5100 -   VICIOS OCULTOS;VICIOS OCULTOS;VICIOS OCULTOS;143895.08;;167439.34;;
CSCH-2024;1/12/2024;        1100 -   PRELIMINARES;OBRA;OBRA;83069.42;137545.43;133070.5;96380.51;145886.76
CSCH-2024;1/12/2024;        1200 -   REDES SECUNDARIAS;OBRA;OBRA;2282124.17;1616290.03;1685506.46;1238104.1;1796648.33
CSCH-2024;1/12/2024;        1300 -   REDES PRIMARIAS;OBRA;OBRA;;271944.05;;;363954.09
CSCH-2024;1/12/2024;        1400 -   OBRAS CIVILES;OBRA;OBRA;349058.8;39215.18;176718.38;364270.99;41131.34
CSCH-2024;1/12/2024;        1500 -   EQUIPAMIENTO HIDRAULICO Y ELECTRICO;OBRA;OBRA;;;;7966.98;
CSCH-2024;1/12/2024;        1600 -   PTAP;OBRA;OBRA;222158.66;131110.82;190669.95;146698.59;145699.72
